School Name,Board,State,City/District,Email ID,Contact Number
New Era Secondary School Branch 42,CBSE,Goa,District 525,contact@newerasecondaryschoolbranch42.edu.in,088-5440682
New Era Public School Branch 45,NIOS,Gujarat,District 679,contact@newerapublicschoolbranch45.edu.in,094-5004962
Saraswati High School Branch 71,State Board,Haryana,District 64,contact@saraswatihighschoolbranch71.edu.in,076-3320468
Model Primary School Branch 82,NIOS,Himachal Pradesh,District 487,contact@modelprimaryschoolbranch82.edu.in,041-9796979
Vivekananda High School Branch 17,ICSE,Jharkhand,District 611,contact@vivekanandahighschoolbranch17.edu.in,087-2324413
Adarsh Public School Branch 22,CBSE,Karnataka,District 591,contact@adarshpublicschoolbranch22.edu.in,071-5976449
St. Joseph's Secondary School Branch 23,ICSE,Kerala,District 498,contact@stjosephssecondaryschoolbranch23.edu.in,062-2457885
Tagore International Branch 56,ICSE,Madhya Pradesh,District 516,contact@tagoreinternationalbranch56.edu.in,082-6909154
Tagore Secondary School Branch 55,ICSE,Maharashtra,District 372,contact@tagoresecondaryschoolbranch55.edu.in,087-9722955
Vivekananda Vidyalaya Branch 31,NIOS,Manipur,District 12,contact@vivekanandavidyalayabranch31.edu.in,071-4188827
Saraswati Convent Branch 39,State Board,Meghalaya,District 481,contact@saraswaticonventbranch39.edu.in,088-4786504
Government Convent Branch 82,IGCSE,Mizoram,District 189,contact@governmentconventbranch82.edu.in,014-5278856
Vivekananda Vidyalaya Branch 94,State Board,Nagaland,District 348,contact@vivekanandavidyalayabranch94.edu.in,093-8195116
Government Convent Branch 20,State Board,Odisha,District 230,contact@governmentconventbranch20.edu.in,021-5456232
Navodaya Public School Branch 66,IGCSE,Punjab,District 514,contact@navodayapublicschoolbranch66.edu.in,077-8079020
St. Joseph's Academy Branch 56,IB,Rajasthan,District 249,contact@stjosephsacademybranch56.edu.in,048-3708615
Army Academy Branch 23,IB,Sikkim,District 123,contact@armyacademybranch23.edu.in,040-2476286
Adarsh Vidyalaya Branch 35,IGCSE,Tamil Nadu,District 682,contact@adarshvidyalayabranch35.edu.in,048-2164238
St. Joseph's Academy Branch 4,IB,Telangana,District 218,contact@stjosephsacademybranch4.edu.in,043-9628110
KV High School Branch 48,IB,Tripura,District 467,contact@kvhighschoolbranch48.edu.in,083-8534953
Global International Branch 67,NIOS,Uttar Pradesh,District 590,contact@globalinternationalbranch67.edu.in,041-9726052
Tagore Convent Branch 63,IB,Uttarakhand,District 531,contact@tagoreconventbranch63.edu.in,019-6446364
Global Public School Branch 46,CBSE,West Bengal,District 355,contact@globalpublicschoolbranch46.edu.in,033-3715941
Government Vidyalaya Branch 22,NIOS,Andaman and Nicobar Islands,District 495,contact@governmentvidyalayabranch22.edu.in,080-7328199
New Era Primary School Branch 30,IB,Chandigarh,District 379,contact@neweraprimaryschoolbranch30.edu.in,064-7862929
Saraswati Public School Branch 60,CBSE,Dadra and Nagar Haveli,District 433,contact@saraswatipublicschoolbranch60.edu.in,049-8147248
Heritage Public School Branch 41,IGCSE,Lakshadweep,District 188,contact@heritagepublicschoolbranch41.edu.in,035-8142972
New Era International Branch 46,State Board,Delhi,District 431,contact@newerainternationalbranch46.edu.in,083-9387593
Global Academy Branch 33,State Board,Puducherry,District 108,contact@globalacademybranch33.edu.in,076-4217435
Army Academy Branch 29,NIOS,Ladakh,District 315,contact@armyacademybranch29.edu.in,014-7120054
Carmel High School Branch 93,ICSE,Jammu and Kashmir,District 680,contact@carmelhighschoolbranch93.edu.in,059-9356010
Adarsh Primary School Branch 47,IGCSE,Andhra Pradesh,District 275,contact@adarshprimaryschoolbranch47.edu.in,054-2099793
Global High School Branch 12,NIOS,Arunachal Pradesh,District 395,contact@globalhighschoolbranch12.edu.in,074-5651706
Heritage High School Branch 30,IGCSE,Assam,District 95,contact@heritagehighschoolbranch30.edu.in,078-1764725
Heritage International Branch 59,CBSE,Bihar,District 406,contact@heritageinternationalbranch59.edu.in,067-9777717
Tagore Convent Branch 48,IGCSE,Chhattisgarh,District 667,contact@tagoreconventbranch48.edu.in,060-9606376
Vidya Mandir Secondary School Branch 31,State Board,Goa,District 187,contact@vidyamandirsecondaryschoolbranch31.edu.in,076-9720713
Government High School Branch 9,IB,Gujarat,District 284,contact@governmenthighschoolbranch9.edu.in,037-1866587
Model High School Branch 68,IGCSE,Haryana,District 259,contact@modelhighschoolbranch68.edu.in,074-2527853
Navodaya Academy Branch 99,State Board,Himachal Pradesh,District 636,contact@navodayaacademybranch99.edu.in,086-4460890
Tagore International Branch 21,CBSE,Jharkhand,District 245,contact@tagoreinternationalbranch21.edu.in,092-8578982
Heritage Public School Branch 53,IGCSE,Karnataka,District 574,contact@heritagepublicschoolbranch53.edu.in,034-5664478
Adarsh Academy Branch 8,ICSE,Kerala,District 327,contact@adarshacademybranch8.edu.in,068-1716624
New Era Public School Branch 39,State Board,Madhya Pradesh,District 470,contact@newerapublicschoolbranch39.edu.in,030-6221415
Global Public School Branch 97,IB,Maharashtra,District 422,contact@globalpublicschoolbranch97.edu.in,059-1277109
Adarsh Public School Branch 91,State Board,Manipur,District 530,contact@adarshpublicschoolbranch91.edu.in,078-6116638
Model Secondary School Branch 12,IGCSE,Meghalaya,District 380,contact@modelsecondaryschoolbranch12.edu.in,079-7381334
Adarsh Convent Branch 100,CBSE,Mizoram,District 211,contact@adarshconventbranch100.edu.in,082-4090392
Heritage Primary School Branch 95,ICSE,Nagaland,District 574,contact@heritageprimaryschoolbranch95.edu.in,010-2195454
Army Public School Branch 37,ICSE,Odisha,District 80,contact@armypublicschoolbranch37.edu.in,052-2189262
Greenwood Primary School Branch 76,NIOS,Punjab,District 656,contact@greenwoodprimaryschoolbranch76.edu.in,098-4969364
Government Convent Branch 6,CBSE,Rajasthan,District 70,contact@governmentconventbranch6.edu.in,016-8465730
St. Joseph's Secondary School Branch 10,ICSE,Sikkim,District 207,contact@stjosephssecondaryschoolbranch10.edu.in,015-5736931
Adarsh Secondary School Branch 99,IB,Tamil Nadu,District 380,contact@adarshsecondaryschoolbranch99.edu.in,073-5910139
KV Primary School Branch 51,State Board,Telangana,District 324,contact@kvprimaryschoolbranch51.edu.in,086-1773948
Bharatiya Convent Branch 98,State Board,Tripura,District 407,contact@bharatiyaconventbranch98.edu.in,058-7547472
Model Secondary School Branch 3,IB,Uttar Pradesh,District 315,contact@modelsecondaryschoolbranch3.edu.in,091-1581559
Tagore Secondary School Branch 24,ICSE,Uttarakhand,District 404,contact@tagoresecondaryschoolbranch24.edu.in,030-9283779
St. Joseph's International Branch 61,ICSE,West Bengal,District 211,contact@stjosephsinternationalbranch61.edu.in,032-1415200
Greenwood High School Branch 16,IB,Andaman and Nicobar Islands,District 143,contact@greenwoodhighschoolbranch16.edu.in,070-3844667
KV International Branch 21,State Board,Chandigarh,District 96,contact@kvinternationalbranch21.edu.in,063-9102580
Model Public School Branch 98,IGCSE,Dadra and Nagar Haveli,District 333,contact@modelpublicschoolbranch98.edu.in,051-9847180
Navodaya Academy Branch 81,IGCSE,Lakshadweep,District 235,contact@navodayaacademybranch81.edu.in,062-8682976
Vivekananda Vidyalaya Branch 66,IGCSE,Delhi,District 41,contact@vivekanandavidyalayabranch66.edu.in,026-6979076
Vivekananda Secondary School Branch 9,ICSE,Puducherry,District 596,contact@vivekanandasecondaryschoolbranch9.edu.in,059-5096428
Tagore Academy Branch 48,CBSE,Ladakh,District 648,contact@tagoreacademybranch48.edu.in,098-1113909
Carmel International Branch 96,IB,Jammu and Kashmir,District 327,contact@carmelinternationalbranch96.edu.in,065-9838929
Model Secondary School Branch 9,IGCSE,Andhra Pradesh,District 586,contact@modelsecondaryschoolbranch9.edu.in,020-7210728
Model Secondary School Branch 20,CBSE,Arunachal Pradesh,District 478,contact@modelsecondaryschoolbranch20.edu.in,013-4003697
New Era Secondary School Branch 100,State Board,Assam,District 671,contact@newerasecondaryschoolbranch100.edu.in,053-3998035
Navodaya Vidyalaya Branch 30,ICSE,Bihar,District 671,contact@navodayavidyalayabranch30.edu.in,087-3661886
Tagore High School Branch 61,State Board,Chhattisgarh,District 166,contact@tagorehighschoolbranch61.edu.in,086-3829694
New Era Academy Branch 57,State Board,Goa,District 343,contact@neweraacademybranch57.edu.in,069-4808485
Greenwood Vidyalaya Branch 65,IGCSE,Gujarat,District 494,contact@greenwoodvidyalayabranch65.edu.in,023-6321304
New Era Secondary School Branch 62,IB,Haryana,District 612,contact@newerasecondaryschoolbranch62.edu.in,093-1700997
Vidya Mandir Convent Branch 33,IGCSE,Himachal Pradesh,District 631,contact@vidyamandirconventbranch33.edu.in,042-6873568
Heritage Primary School Branch 7,CBSE,Jharkhand,District 621,contact@heritageprimaryschoolbranch7.edu.in,083-1035243
New Era International Branch 41,CBSE,Karnataka,District 436,contact@newerainternationalbranch41.edu.in,027-2357718
New Era High School Branch 90,IGCSE,Kerala,District 615,contact@newerahighschoolbranch90.edu.in,088-9832928
Government Convent Branch 21,NIOS,Madhya Pradesh,District 262,contact@governmentconventbranch21.edu.in,077-1214206
St. Joseph's Vidyalaya Branch 90,IGCSE,Maharashtra,District 641,contact@stjosephsvidyalayabranch90.edu.in,027-9400437
Greenwood Secondary School Branch 95,ICSE,Manipur,District 254,contact@greenwoodsecondaryschoolbranch95.edu.in,099-6033441
Model International Branch 28,IGCSE,Meghalaya,District 256,contact@modelinternationalbranch28.edu.in,033-6156194
Navodaya High School Branch 65,IGCSE,Mizoram,District 611,contact@navodayahighschoolbranch65.edu.in,072-3308472
St. Joseph's Convent Branch 96,CBSE,Nagaland,District 181,contact@stjosephsconventbranch96.edu.in,019-3360734
Army International Branch 26,ICSE,Odisha,District 147,contact@armyinternationalbranch26.edu.in,061-7529575
Adarsh Secondary School Branch 41,IB,Punjab,District 80,contact@adarshsecondaryschoolbranch41.edu.in,083-1325814
St. Joseph's High School Branch 15,IB,Rajasthan,District 666,contact@stjosephshighschoolbranch15.edu.in,097-1993711
Vivekananda Primary School Branch 78,CBSE,Sikkim,District 172,contact@vivekanandaprimaryschoolbranch78.edu.in,034-7160803
Carmel International Branch 20,IGCSE,Tamil Nadu,District 83,contact@carmelinternationalbranch20.edu.in,066-3806077
Saraswati High School Branch 17,IGCSE,Telangana,District 141,contact@saraswatihighschoolbranch17.edu.in,093-9461062
Vivekananda Convent Branch 83,NIOS,Tripura,District 174,contact@vivekanandaconventbranch83.edu.in,033-3283371
KV Primary School Branch 23,State Board,Uttar Pradesh,District 189,contact@kvprimaryschoolbranch23.edu.in,037-7662664
Bharatiya International Branch 27,CBSE,Uttarakhand,District 656,contact@bharatiyainternationalbranch27.edu.in,031-3840854
Vivekananda Primary School Branch 51,IGCSE,West Bengal,District 63,contact@vivekanandaprimaryschoolbranch51.edu.in,078-9311220
KV International Branch 27,CBSE,Andaman and Nicobar Islands,District 105,contact@kvinternationalbranch27.edu.in,062-8311498
Navodaya Vidyalaya Branch 8,IB,Chandigarh,District 692,contact@navodayavidyalayabranch8.edu.in,071-7177297
Vivekananda International Branch 31,ICSE,Dadra and Nagar Haveli,District 413,contact@vivekanandainternationalbranch31.edu.in,095-7370041
Global Academy Branch 61,IGCSE,Lakshadweep,District 629,contact@globalacademybranch61.edu.in,055-9609723
Heritage Primary School Branch 87,ICSE,Delhi,District 670,contact@heritageprimaryschoolbranch87.edu.in,045-5847071
KV Convent Branch 92,IB,Puducherry,District 462,contact@kvconventbranch92.edu.in,020-3892665
KV Primary School Branch 91,State Board,Ladakh,District 402,contact@kvprimaryschoolbranch91.edu.in,098-8151400
Heritage Secondary School Branch 40,State Board,Jammu and Kashmir,District 496,contact@heritagesecondaryschoolbranch40.edu.in,015-8662020
Tagore International Branch 5,IB,Andhra Pradesh,District 175,contact@tagoreinternationalbranch5.edu.in,062-7348408
Saraswati Primary School Branch 4,CBSE,Arunachal Pradesh,District 173,contact@saraswatiprimaryschoolbranch4.edu.in,080-5761561
KV High School Branch 15,NIOS,Assam,District 453,contact@kvhighschoolbranch15.edu.in,037-6384823
KV Secondary School Branch 93,IGCSE,Bihar,District 54,contact@kvsecondaryschoolbranch93.edu.in,010-9932646
KV Convent Branch 36,NIOS,Chhattisgarh,District 281,contact@kvconventbranch36.edu.in,020-9519061
Vivekananda Primary School Branch 30,NIOS,Goa,District 43,contact@vivekanandaprimaryschoolbranch30.edu.in,087-8822720
Saraswati Public School Branch 44,IB,Gujarat,District 523,contact@saraswatipublicschoolbranch44.edu.in,016-7457050
Adarsh Vidyalaya Branch 61,IGCSE,Haryana,District 641,contact@adarshvidyalayabranch61.edu.in,081-5432032
Saraswati Public School Branch 12,ICSE,Himachal Pradesh,District 264,contact@saraswatipublicschoolbranch12.edu.in,097-8816711
New Era Convent Branch 31,State Board,Jharkhand,District 426,contact@neweraconventbranch31.edu.in,017-8193545
Greenwood International Branch 72,ICSE,Karnataka,District 369,contact@greenwoodinternationalbranch72.edu.in,036-9461228
Government Convent Branch 6,IGCSE,Kerala,District 337,contact@governmentconventbranch6.edu.in,067-7806103
Heritage High School Branch 44,ICSE,Madhya Pradesh,District 572,contact@heritagehighschoolbranch44.edu.in,049-2621990
Vivekananda Academy Branch 63,State Board,Maharashtra,District 298,contact@vivekanandaacademybranch63.edu.in,096-9568589
Carmel Secondary School Branch 24,IB,Manipur,District 204,contact@carmelsecondaryschoolbranch24.edu.in,027-9133414
Adarsh Convent Branch 17,CBSE,Meghalaya,District 465,contact@adarshconventbranch17.edu.in,029-8108101
Heritage Secondary School Branch 46,CBSE,Mizoram,District 136,contact@heritagesecondaryschoolbranch46.edu.in,069-8762369
Global Vidyalaya Branch 39,IB,Nagaland,District 332,contact@globalvidyalayabranch39.edu.in,068-8702017
Vidya Mandir Secondary School Branch 71,NIOS,Odisha,District 373,contact@vidyamandirsecondaryschoolbranch71.edu.in,041-9679143
St. Joseph's International Branch 95,IB,Punjab,District 335,contact@stjosephsinternationalbranch95.edu.in,083-6006563
Navodaya Secondary School Branch 70,State Board,Rajasthan,District 438,contact@navodayasecondaryschoolbranch70.edu.in,062-2422010
Tagore Vidyalaya Branch 90,IGCSE,Sikkim,District 698,contact@tagorevidyalayabranch90.edu.in,048-5904677
Army Convent Branch 19,IB,Tamil Nadu,District 386,contact@armyconventbranch19.edu.in,012-2172009
Navodaya International Branch 63,State Board,Telangana,District 142,contact@navodayainternationalbranch63.edu.in,036-1197310
Navodaya Vidyalaya Branch 42,ICSE,Tripura,District 28,contact@navodayavidyalayabranch42.edu.in,070-6359807
Saraswati Convent Branch 100,NIOS,Uttar Pradesh,District 71,contact@saraswaticonventbranch100.edu.in,018-9831055
Saraswati Secondary School Branch 62,ICSE,Uttarakhand,District 148,contact@saraswatisecondaryschoolbranch62.edu.in,036-9037377
Bharatiya Convent Branch 70,NIOS,West Bengal,District 279,contact@bharatiyaconventbranch70.edu.in,050-7762596
Tagore Public School Branch 86,State Board,Andaman and Nicobar Islands,District 454,contact@tagorepublicschoolbranch86.edu.in,022-2731043
Model International Branch 3,State Board,Chandigarh,District 204,contact@modelinternationalbranch3.edu.in,028-9101046
Model Convent Branch 23,IGCSE,Dadra and Nagar Haveli,District 481,contact@modelconventbranch23.edu.in,086-6175061
Heritage Secondary School Branch 51,IB,Lakshadweep,District 599,contact@heritagesecondaryschoolbranch51.edu.in,025-3047842
Vivekananda Vidyalaya Branch 73,NIOS,Delhi,District 625,contact@vivekanandavidyalayabranch73.edu.in,038-2835973
Tagore International Branch 30,IB,Puducherry,District 681,contact@tagoreinternationalbranch30.edu.in,040-6303718
Vivekananda Secondary School Branch 77,NIOS,Ladakh,District 66,contact@vivekanandasecondaryschoolbranch77.edu.in,030-2536075
Carmel Primary School Branch 33,CBSE,Jammu and Kashmir,District 610,contact@carmelprimaryschoolbranch33.edu.in,033-5131743
New Era International Branch 58,State Board,Andhra Pradesh,District 251,contact@newerainternationalbranch58.edu.in,024-5307131
Model Secondary School Branch 86,NIOS,Arunachal Pradesh,District 446,contact@modelsecondaryschoolbranch86.edu.in,040-2839536
Navodaya Convent Branch 22,State Board,Assam,District 383,contact@navodayaconventbranch22.edu.in,027-7012075
Bharatiya Primary School Branch 59,NIOS,Bihar,District 128,contact@bharatiyaprimaryschoolbranch59.edu.in,070-1488294
Vidya Mandir Convent Branch 82,CBSE,Chhattisgarh,District 44,contact@vidyamandirconventbranch82.edu.in,076-4778001
Bharatiya Convent Branch 93,NIOS,Goa,District 275,contact@bharatiyaconventbranch93.edu.in,024-1924119
Global International Branch 22,CBSE,Gujarat,District 674,contact@globalinternationalbranch22.edu.in,054-3425843
St. Joseph's International Branch 1,IGCSE,Haryana,District 2,contact@stjosephsinternationalbranch1.edu.in,084-2861391
Global Secondary School Branch 55,IGCSE,Himachal Pradesh,District 427,contact@globalsecondaryschoolbranch55.edu.in,030-9865970
Bharatiya Primary School Branch 73,IGCSE,Jharkhand,District 392,contact@bharatiyaprimaryschoolbranch73.edu.in,085-8365781
Global Convent Branch 46,ICSE,Karnataka,District 129,contact@globalconventbranch46.edu.in,079-2018758
KV Primary School Branch 26,ICSE,Kerala,District 455,contact@kvprimaryschoolbranch26.edu.in,048-1563113
Government Primary School Branch 97,State Board,Madhya Pradesh,District 571,contact@governmentprimaryschoolbranch97.edu.in,088-9313183
St. Joseph's Vidyalaya Branch 81,IGCSE,Maharashtra,District 193,contact@stjosephsvidyalayabranch81.edu.in,051-5091896
Vivekananda International Branch 54,IB,Manipur,District 237,contact@vivekanandainternationalbranch54.edu.in,048-4732426
Vivekananda Convent Branch 66,IB,Meghalaya,District 311,contact@vivekanandaconventbranch66.edu.in,061-1294039
Bharatiya Primary School Branch 90,CBSE,Mizoram,District 438,contact@bharatiyaprimaryschoolbranch90.edu.in,046-5135478
Navodaya High School Branch 27,State Board,Nagaland,District 83,contact@navodayahighschoolbranch27.edu.in,013-1395719
Bharatiya International Branch 17,IB,Odisha,District 572,contact@bharatiyainternationalbranch17.edu.in,059-3486073
Carmel Academy Branch 55,State Board,Punjab,District 544,contact@carmelacademybranch55.edu.in,072-5156591
Army International Branch 15,CBSE,Rajasthan,District 577,contact@armyinternationalbranch15.edu.in,080-7474746
Tagore Academy Branch 69,State Board,Sikkim,District 574,contact@tagoreacademybranch69.edu.in,030-5741655
Vidya Mandir Academy Branch 56,CBSE,Tamil Nadu,District 460,contact@vidyamandiracademybranch56.edu.in,020-9771187
Vivekananda Public School Branch 7,NIOS,Telangana,District 540,contact@vivekanandapublicschoolbranch7.edu.in,062-7578981
Global International Branch 32,IB,Tripura,District 314,contact@globalinternationalbranch32.edu.in,055-6918179
Saraswati Secondary School Branch 44,IGCSE,Uttar Pradesh,District 246,contact@saraswatisecondaryschoolbranch44.edu.in,032-6717958
Army High School Branch 1,CBSE,Uttarakhand,District 261,contact@armyhighschoolbranch1.edu.in,059-4087099
Greenwood International Branch 58,ICSE,West Bengal,District 693,contact@greenwoodinternationalbranch58.edu.in,081-1776669
New Era Secondary School Branch 83,CBSE,Andaman and Nicobar Islands,District 193,contact@newerasecondaryschoolbranch83.edu.in,034-6546864
St. Joseph's High School Branch 66,IB,Chandigarh,District 489,contact@stjosephshighschoolbranch66.edu.in,083-6033704
Vidya Mandir Convent Branch 49,NIOS,Dadra and Nagar Haveli,District 336,contact@vidyamandirconventbranch49.edu.in,018-9522907
Army International Branch 26,IB,Lakshadweep,District 5,contact@armyinternationalbranch26.edu.in,048-2124876
Greenwood Vidyalaya Branch 96,NIOS,Delhi,District 172,contact@greenwoodvidyalayabranch96.edu.in,091-7154995
New Era Convent Branch 79,IB,Puducherry,District 358,contact@neweraconventbranch79.edu.in,036-5159617
Adarsh Academy Branch 80,IB,Ladakh,District 71,contact@adarshacademybranch80.edu.in,065-1394251
St. Joseph's Academy Branch 46,IB,Jammu and Kashmir,District 282,contact@stjosephsacademybranch46.edu.in,025-9734339
Greenwood Vidyalaya Branch 4,IB,Andhra Pradesh,District 567,contact@greenwoodvidyalayabranch4.edu.in,087-9585571
Vivekananda High School Branch 63,IB,Arunachal Pradesh,District 392,contact@vivekanandahighschoolbranch63.edu.in,073-4635492
New Era Primary School Branch 88,IGCSE,Assam,District 66,contact@neweraprimaryschoolbranch88.edu.in,027-8487948
Vidya Mandir Primary School Branch 38,CBSE,Bihar,District 155,contact@vidyamandirprimaryschoolbranch38.edu.in,095-7805155
Saraswati Public School Branch 45,IB,Chhattisgarh,District 383,contact@saraswatipublicschoolbranch45.edu.in,086-1692325
New Era Convent Branch 53,CBSE,Goa,District 415,contact@neweraconventbranch53.edu.in,027-9956362
Carmel High School Branch 41,IB,Gujarat,District 106,contact@carmelhighschoolbranch41.edu.in,050-4427466
Army Secondary School Branch 94,CBSE,Haryana,District 584,contact@armysecondaryschoolbranch94.edu.in,036-2635364
Heritage Public School Branch 62,IB,Himachal Pradesh,District 137,contact@heritagepublicschoolbranch62.edu.in,037-7290280
Bharatiya Primary School Branch 15,NIOS,Jharkhand,District 161,contact@bharatiyaprimaryschoolbranch15.edu.in,091-7421490
Saraswati Public School Branch 42,IGCSE,Karnataka,District 258,contact@saraswatipublicschoolbranch42.edu.in,016-2239492
Saraswati Public School Branch 21,CBSE,Kerala,District 411,contact@saraswatipublicschoolbranch21.edu.in,079-4948878
KV Convent Branch 92,IGCSE,Madhya Pradesh,District 510,contact@kvconventbranch92.edu.in,049-6798853
Global International Branch 35,State Board,Maharashtra,District 605,contact@globalinternationalbranch35.edu.in,034-9289312
St. Joseph's Secondary School Branch 29,ICSE,Manipur,District 425,contact@stjosephssecondaryschoolbranch29.edu.in,058-4032167
Model Secondary School Branch 46,IB,Meghalaya,District 357,contact@modelsecondaryschoolbranch46.edu.in,014-9149210
New Era Secondary School Branch 88,CBSE,Mizoram,District 95,contact@newerasecondaryschoolbranch88.edu.in,039-6661366
Bharatiya Public School Branch 42,ICSE,Nagaland,District 277,contact@bharatiyapublicschoolbranch42.edu.in,069-9631916
St. Joseph's International Branch 81,IB,Odisha,District 326,contact@stjosephsinternationalbranch81.edu.in,024-8614533
Navodaya Vidyalaya Branch 42,CBSE,Punjab,District 514,contact@navodayavidyalayabranch42.edu.in,021-2440965
Saraswati Academy Branch 90,State Board,Rajasthan,District 356,contact@saraswatiacademybranch90.edu.in,059-8893898
Vidya Mandir Vidyalaya Branch 98,State Board,Sikkim,District 549,contact@vidyamandirvidyalayabranch98.edu.in,055-2185664
Tagore Secondary School Branch 85,IB,Tamil Nadu,District 211,contact@tagoresecondaryschoolbranch85.edu.in,023-4509205
New Era International Branch 4,CBSE,Telangana,District 91,contact@newerainternationalbranch4.edu.in,019-6808437
Saraswati High School Branch 75,IB,Tripura,District 3,contact@saraswatihighschoolbranch75.edu.in,095-2189322
Saraswati Secondary School Branch 92,ICSE,Uttar Pradesh,District 50,contact@saraswatisecondaryschoolbranch92.edu.in,013-8341338
Carmel Academy Branch 68,IGCSE,Uttarakhand,District 450,contact@carmelacademybranch68.edu.in,094-9926757
New Era Public School Branch 75,IGCSE,West Bengal,District 554,contact@newerapublicschoolbranch75.edu.in,094-7737289
Greenwood Academy Branch 48,IGCSE,Andaman and Nicobar Islands,District 42,contact@greenwoodacademybranch48.edu.in,079-5534989
Vidya Mandir Secondary School Branch 84,NIOS,Chandigarh,District 99,contact@vidyamandirsecondaryschoolbranch84.edu.in,094-5372805
Tagore High School Branch 44,IGCSE,Dadra and Nagar Haveli,District 456,contact@tagorehighschoolbranch44.edu.in,035-9157375
Vidya Mandir Academy Branch 100,IGCSE,Lakshadweep,District 273,contact@vidyamandiracademybranch100.edu.in,031-8672722
Navodaya Academy Branch 22,ICSE,Delhi,District 436,contact@navodayaacademybranch22.edu.in,060-7930727
Carmel Academy Branch 25,CBSE,Puducherry,District 357,contact@carmelacademybranch25.edu.in,058-2805313
Saraswati Secondary School Branch 84,IB,Ladakh,District 469,contact@saraswatisecondaryschoolbranch84.edu.in,083-9554559
Heritage Public School Branch 95,IGCSE,Jammu and Kashmir,District 62,contact@heritagepublicschoolbranch95.edu.in,090-6912117
Vidya Mandir Vidyalaya Branch 8,State Board,Andhra Pradesh,District 395,contact@vidyamandirvidyalayabranch8.edu.in,025-1861844
Model Academy Branch 84,ICSE,Arunachal Pradesh,District 98,contact@modelacademybranch84.edu.in,035-1261620
Vidya Mandir Secondary School Branch 91,ICSE,Assam,District 108,contact@vidyamandirsecondaryschoolbranch91.edu.in,074-7021497
Vidya Mandir Primary School Branch 48,IGCSE,Bihar,District 579,contact@vidyamandirprimaryschoolbranch48.edu.in,023-8102966
Bharatiya Vidyalaya Branch 31,CBSE,Chhattisgarh,District 466,contact@bharatiyavidyalayabranch31.edu.in,098-5295043
St. Joseph's Vidyalaya Branch 92,IB,Goa,District 306,contact@stjosephsvidyalayabranch92.edu.in,021-1078675
Heritage Vidyalaya Branch 4,CBSE,Gujarat,District 54,contact@heritagevidyalayabranch4.edu.in,086-8954964
Tagore Academy Branch 44,State Board,Haryana,District 596,contact@tagoreacademybranch44.edu.in,020-2944799
New Era Vidyalaya Branch 54,ICSE,Himachal Pradesh,District 18,contact@neweravidyalayabranch54.edu.in,090-7983564
Tagore Convent Branch 85,NIOS,Jharkhand,District 282,contact@tagoreconventbranch85.edu.in,047-6281065
Vivekananda High School Branch 99,ICSE,Karnataka,District 352,contact@vivekanandahighschoolbranch99.edu.in,065-7166011
Army Secondary School Branch 3,ICSE,Kerala,District 556,contact@armysecondaryschoolbranch3.edu.in,040-4298407
Saraswati Secondary School Branch 87,NIOS,Madhya Pradesh,District 145,contact@saraswatisecondaryschoolbranch87.edu.in,070-3930863
Bharatiya Public School Branch 64,State Board,Maharashtra,District 56,contact@bharatiyapublicschoolbranch64.edu.in,091-8990445
Greenwood Secondary School Branch 45,State Board,Manipur,District 444,contact@greenwoodsecondaryschoolbranch45.edu.in,028-6922944
Government High School Branch 70,CBSE,Meghalaya,District 191,contact@governmenthighschoolbranch70.edu.in,096-8769088
St. Joseph's Secondary School Branch 93,CBSE,Mizoram,District 231,contact@stjosephssecondaryschoolbranch93.edu.in,047-3885325
New Era High School Branch 31,ICSE,Nagaland,District 5,contact@newerahighschoolbranch31.edu.in,012-4200406
Tagore Convent Branch 50,State Board,Odisha,District 651,contact@tagoreconventbranch50.edu.in,018-5838849
Adarsh Vidyalaya Branch 98,IB,Punjab,District 622,contact@adarshvidyalayabranch98.edu.in,025-9934704
Bharatiya Vidyalaya Branch 9,State Board,Rajasthan,District 475,contact@bharatiyavidyalayabranch9.edu.in,023-3935104
New Era High School Branch 40,State Board,Sikkim,District 549,contact@newerahighschoolbranch40.edu.in,045-8184197
New Era Academy Branch 19,State Board,Tamil Nadu,District 93,contact@neweraacademybranch19.edu.in,096-3716054
Greenwood Vidyalaya Branch 63,NIOS,Telangana,District 644,contact@greenwoodvidyalayabranch63.edu.in,057-3265490
Adarsh Public School Branch 16,State Board,Tripura,District 35,contact@adarshpublicschoolbranch16.edu.in,014-6333759
Model High School Branch 94,CBSE,Uttar Pradesh,District 515,contact@modelhighschoolbranch94.edu.in,055-2589439
Army Academy Branch 55,NIOS,Uttarakhand,District 337,contact@armyacademybranch55.edu.in,094-5459476
Carmel International Branch 6,IGCSE,West Bengal,District 343,contact@carmelinternationalbranch6.edu.in,024-6277805
Adarsh Public School Branch 50,NIOS,Andaman and Nicobar Islands,District 619,contact@adarshpublicschoolbranch50.edu.in,047-8464541
Government Convent Branch 76,IGCSE,Chandigarh,District 208,contact@governmentconventbranch76.edu.in,033-2339918
Greenwood Public School Branch 90,State Board,Dadra and Nagar Haveli,District 491,contact@greenwoodpublicschoolbranch90.edu.in,077-4341430
KV Convent Branch 46,NIOS,Lakshadweep,District 358,contact@kvconventbranch46.edu.in,035-2466950
Model Convent Branch 98,IGCSE,Delhi,District 206,contact@modelconventbranch98.edu.in,059-7068124
